0,1,0.5488135023,0,Difference:,IGG:,IPG,Std Deviation:
0,517,172.3018516,124,1.234259962,,,
0,521,173.5980891,125,1.296237506,,,
0,525,174.8540853,126,1.255996107,,,
0,529,176.0686426,127,1.214557398,,,
0,533,177.3040651,128,1.235422413,,,
0,535,178.3040651,128,1,,,
0,539,179.5477679,129,1.243702801,,,
0,543,180.8280231,130,1.280255199,,,
0,547,182.0314434,131,1.203420342,,,
0,551,183.578697,132,1.547253548,,,
0,555,184.81741,133,1.238713009,,,
0,559,186.0424181,134,1.225008149,,,
0,563,187.2576475,135,1.215229363,,,
0,567,188.4678795,136,1.210232061,,,
0,571,190.0816605,137,1.613780976,,,
0,575,191.3118171,138,1.230156591,,,
0,579,192.5888248,139,1.277007686,,,
0,583,193.8482321,140,1.25940735,,,
0,587,195.0587203,141,1.210488184,,,
0,591,196.3021549,142,1.243434566,,,
0,595,197.5655011,143,1.263346262,,,
0,599,198.9494744,144,1.383973279,,,
1,2,0.6488135023,1,,,,
1,6,1.974406578,2,1.325593076,,,
1,10,3.266728891,3,1.292322313,,,
1,14,4.545449005,4,1.278720114,,,
1,18,5.800553854,5,1.255104849,,,
1,22,7.104369784,6,1.30381593,,,
1,26,8.361921704,7,1.25755192,,,
1,32,10.78427415,8,2.422352442,,,
1,36,12.01610976,9,1.231835614,,,
1,40,13.28105439,10,1.264944635,,,
1,44,14.64827551,11,1.36722112,,,
1,48,15.91366377,12,1.265388257,,,
1,52,17.16355097,13,1.249887201,,,
1,58,19.5443879,14,2.380836926,,,
1,62,20.753504,15,1.209116103,,,
1,66,21.95554656,16,1.202042559,,,
1,70,23.33429533,17,1.378748766,,,
1,74,24.68487375,18,1.350578426,,,
1,78,26.08890518,19,1.404031426,,,
1,82,27.67342737,20,1.584522187,,,
1,86,29.03395132,21,1.360523956,,,
1,90,30.29584427,22,1.261892946,,,
1,94,31.64749786,23,1.351653597,,,
1,98,32.86008531,24,1.212587441,,,
1,102,34.16222849,25,1.302143187,,,
