0,1,0.5488135023,0,DIfference:,IGG:,IPG:,Std div:
0,401,188.1801954,18,1,,,
0,403,189.1801954,18,1,,,
0,405,190.1801954,18,1,,,
0,407,191.1801954,18,1,,,
0,409,192.1801954,18,1,,,
0,411,193.1801954,18,1,,,
0,415,194.4369859,19,1.256790415,,,
0,417,195.4369859,19,1,,,
0,419,196.4369859,19,1,,,
0,421,197.4369859,19,1,,,
0,423,198.4369859,19,1,,,
0,425,199.4369859,19,1,,,
1,32,15.6488135,1,,,,
1,52,24.88064912,2,9.231835614,,,
1,70,33.26148604,3,8.380836926,,,
1,80,37.61206447,4,4.350578426,,,
1,108,50.87623539,5,13.26417092,,,
1,152,72.21837185,6,21.34213647,,,
1,166,78.65126319,7,6.432891337,,,
1,174,81.97087397,8,3.31961078,,,
1,208,98.28076522,9,16.30989125,,,
1,222,104.8000599,10,6.519294664,,,
1,258,122.1059342,11,17.30587427,,,
1,278,131.3519355,12,9.246001396,,,
1,288,135.9268387,13,4.574903146,,,
1,306,144.1325714,14,8.205732693,,,
1,326,153.3453771,15,9.212805677,,,
1,346,162.5520068,16,9.20662974,,,
1,350,163.7618718,17,1.209865031,,,
1,356,166.0476614,18,2.285789564,,,
1,412,193.2801954,19,27.23253404,,,
2,33,15.68064912,0,,,,
2,53,25.06148604,0,,,,
2,71,33.41206447,0,,,,
2,81,37.67623539,0,,,,
2,109,51.01837185,0,,,,
2,153,72.45126319,0,,,,
2,167,78.77087397,0,,,,
2,175,82.08076522,0,,,,
2,209,98.60005988,0,,,,
2,223,104.9059342,0,,,,
2,259,122.1519355,0,,,,
2,279,131.7268387,0,,,,
2,289,135.9325714,0,,,,
2,307,144.1453771,0,,,,
2,327,153.3520068,0,,,,
2,347,162.5618718,0,,,,
2,351,163.8476614,0,,,,
2,357,166.0801954,0,,,,
2,413,193.3369859,0,,,,
3,34,15.78064912,1,,,,
3,54,25.16148604,2,,,,
3,72,33.51206447,3,,,,
3,82,37.77623539,4,,,,
3,110,51.11837185,5,,,,
3,154,72.55126319,6,,,,
3,168,78.87087397,7,,,,
3,176,82.18076522,8,,,,
3,210,98.70005988,9,,,,
3,224,105.0059342,10,,,,
3,260,122.2519355,11,,,,
3,280,131.8268387,12,,,,
3,290,136.0325714,13,,,,
3,308,144.2453771,14,,,,
3,328,153.4520068,15,,,,
3,348,162.6618718,16,,,,
3,352,163.9476614,17,,,,
3,358,166.1801954,18,,,,
3,414,193.4369859,19,,,,
