0,1,0.5488135023,0,Difference:,IGG:,IPG:,Std div:
0,5,1.874406578,1,1.325593076,1.236854735,1.508587972,0.136127049
0,9,3.166728891,2,1.292322313,,,
0,13,4.445449005,3,1.278720114,,,
0,17,5.700553854,4,1.255104849,,,
0,21,7.004369784,5,1.30381593,,,
0,25,8.261921704,6,1.25755192,,,
0,29,9.684274146,7,1.422352442,,,
0,31,10.68427415,7,1,,,
0,35,11.91610976,8,1.231835614,,,
0,39,13.18105439,9,1.264944635,,,
0,43,14.54827551,10,1.36722112,,,
0,47,15.81366377,11,1.265388257,,,
0,51,17.06355097,12,1.249887201,,,
0,55,18.4443879,13,1.380836926,,,
0,57,19.4443879,13,1,,,
0,61,20.653504,14,1.209116103,,,
0,65,21.85554656,15,1.202042559,,,
0,69,23.23429533,16,1.378748766,,,
0,73,24.58487375,17,1.350578426,,,
0,75,25.58487375,17,1,,,
0,79,26.98896297,18,1.404089222,,,
0,83,28.25313389,19,1.264170917,,,
0,87,29.6145341,20,1.361400207,,,
0,91,30.88803054,21,1.273496442,,,
0,95,32.20162444,22,1.313593894,,,
0,97,33.20162444,22,1,,,
0,101,34.50376762,23,1.302143187,,,
0,105,35.71924059,24,1.215472968,,,
0,109,37.20868264,25,1.489442048,,,
0,113,38.48246537,26,1.273782729,,,
0,115,39.48246537,26,1,,,
0,119,40.74663484,27,1.26416947,,,
0,123,41.96725517,28,1.220620328,,,
0,127,43.30078418,29,1.333529018,,,
0,131,44.52518903,30,1.224404849,,,
0,135,45.73971684,31,1.214527803,,,
0,137,46.73971684,31,1,,,
0,141,48.03585493,32,1.296138094,,,
0,143,49.03585493,32,1,,,
0,147,50.26099912,33,1.225144193,,,
0,151,51.50985483,34,1.248855705,,,
0,155,52.94274617,35,1.432891337,,,
0,159,54.20252077,36,1.259774608,,,
0,163,55.49747023,37,1.294949458,,,
0,167,56.93010534,38,1.432635106,,,
0,171,58.14056146,39,1.210456123,,,
0,173,59.14056146,39,1,,,
0,177,60.45045271,40,1.309891247,,,
0,181,61.76151245,41,1.311059745,,,
0,183,62.76151245,41,1,,,
0,185,63.76151245,41,1,,,
0,189,64.97531532,42,1.213802869,,,
0,193,66.21321152,43,1.237896196,,,
0,197,67.45842172,44,1.245210206,,,
0,201,68.7428645,45,1.284442779,,,
0,203,69.7428645,45,1,,,
0,207,71.0434516,46,1.300587101,,,
0,211,72.56274627,47,1.519294664,,,
0,213,73.56274627,47,1,,,
0,217,74.78617642,48,1.223430152,,,
0,221,76.00376777,49,1.217591355,,,
0,225,77.30964205,50,1.305874272,,,
0,229,78.5388501,51,1.229208053,,,
0,233,79.80164426,52,1.262794158,,,
0,237,81.02967196,53,1.228027701,,,
0,241,82.2469847,54,1.217312746,,,
0,245,83.45868024,55,1.211695541,,,
0,249,84.76548746,56,1.30680722,,,
0,253,85.98035869,57,1.214871227,,,
0,257,87.20224675,58,1.22188806,,,
0,261,88.44824815,59,1.246001396,,,
0,265,89.82028131,60,1.372033166,,,
0,267,90.82028131,60,1,,,
0,269,91.82028131,60,1,,,
0,273,93.2022632,61,1.381981892,,,
0,277,94.41236668,62,1.210103478,,,
0,281,95.98726983,63,1.574903146,,,
0,285,97.25050349,64,1.26323366,,,
0,289,98.82669622,65,1.576192728,,,
0,291,99.82669622,65,1,,,
0,295,101.0866909,66,1.259994689,,,
0,299,102.2887099,67,1.202019013,,,
0,301,103.2887099,67,1,,,
0,305,104.5219509,68,1.233241024,,,
0,309,105.7347566,69,1.212805677,,,
0,313,106.9698742,70,1.235117609,,,
0,317,108.1825131,71,1.212638864,,,
0,321,109.4207832,72,1.238270095,,,
0,325,110.6742716,73,1.253488438,,,
0,329,111.8809014,74,1.20662974,,,
0,331,112.8809014,74,1,,,
0,335,114.1641857,75,1.283284352,,,
0,339,115.5645098,76,1.400324052,,,
0,343,116.8356346,77,1.271124794,,,
0,347,118.2841928,78,1.448558236,,,
0,349,119.2841928,78,1,,,
0,353,120.5699824,79,1.285789564,,,
0,355,121.5699824,79,1,,,
0,359,122.8025164,80,1.232534042,,,
0,363,124.0034565,81,1.200940075,,,
0,367,125.3881892,82,1.384732765,,,
0,369,126.3881892,82,1,,,
0,373,127.7141826,83,1.325993381,,,
0,377,128.948348,84,1.234165417,,,
0,381,130.1685831,85,1.220235044,,,
0,385,131.456896,86,1.288312904,,,
0,389,132.6589272,87,1.202031246,,,
0,391,133.6589272,87,1,,,
0,395,134.9051003,88,1.24617309,,,
0,397,135.9051003,88,1,,,
0,399,136.9051003,88,1,,,
0,403,138.1894086,89,1.284308303,,,
0,407,139.5110595,90,1.321650865,,,
0,411,140.7450942,91,1.234034674,,,
0,415,142.0018846,92,1.256790415,,,
0,417,143.0018846,92,1,,,
0,421,144.2877239,93,1.285839297,,,
0,425,145.577383,94,1.289659087,,,
0,429,146.862305,95,1.284922081,,,
0,433,148.087547,96,1.225241999,,,
0,437,149.5927752,97,1.505228166,,,
0,441,150.8520376,98,1.259262403,,,
0,445,152.2393836,99,1.387345988,,,
0,449,153.5596075,100,1.320223857,,,
0,451,154.5596075,100,1,,,
0,455,155.9052893,101,1.345681856,,,
0,459,157.1583616,102,1.25307225,,,
0,463,158.4708898,103,1.312528202,,,
0,467,159.6996308,104,1.228741048,,,
0,471,160.9372047,105,1.237573884,,,
0,475,162.4736417,106,1.536437045,,,
0,479,163.7624279,107,1.288786141,,,
0,483,165.0702114,108,1.307783488,,,
0,487,166.3463981,109,1.276186777,,,
0,491,167.5726039,110,1.226205724,,,
0,495,168.822835,111,1.25023108,,,
0,499,170.1192803,112,1.296445357,,,
0,503,171.3836908,113,1.264410471,,,
0,505,172.3836908,113,1,,,
0,509,173.6195835,114,1.235892722,,,
0,513,174.9275155,115,1.30793202,,,
0,517,176.1617755,116,1.234259962,,,
0,521,177.458013,117,1.296237506,,,
0,525,178.7140091,118,1.255996107,,,
0,529,179.9285665,119,1.214557398,,,
0,531,180.9285665,119,1,,,
0,535,182.1382588,120,1.209692275,,,
0,539,183.3819616,121,1.243702801,,,
0,543,184.6622168,122,1.280255199,,,
0,547,185.8656371,123,1.203420342,,,
0,551,187.4128907,124,1.547253548,,,
0,555,188.6516037,125,1.238713009,,,
0,559,189.8766118,126,1.225008149,,,
0,563,191.0918412,127,1.215229363,,,
0,567,192.3020732,128,1.210232061,,,
0,571,193.9158542,129,1.613780976,,,
0,575,195.1460108,130,1.230156591,,,
0,579,196.4230185,131,1.277007686,,,
0,583,197.6824258,132,1.25940735,,,
0,585,198.6824258,132,1,,,
0,587,199.6824258,132,1,,,
1,2,0.6488135023,1,,,,
1,6,1.974406578,2,1.325593076,,,
1,10,3.266728891,3,1.292322313,,,
1,14,4.545449005,4,1.278720114,,,
1,18,5.800553854,5,1.255104849,,,
1,22,7.104369784,6,1.30381593,,,
1,26,8.361921704,7,1.25755192,,,
1,32,10.78427415,8,2.422352442,,,
1,36,12.01610976,9,1.231835614,,,
1,40,13.28105439,10,1.264944635,,,
1,44,14.64827551,11,1.36722112,,,
1,48,15.91366377,12,1.265388257,,,
1,52,17.16355097,13,1.249887201,,,
1,58,19.5443879,14,2.380836926,,,
1,62,20.753504,15,1.209116103,,,
1,66,21.95554656,16,1.202042559,,,
1,70,23.33429533,17,1.378748766,,,
1,76,25.68487375,18,2.350578426,,,
1,80,27.08896297,19,1.404089222,,,
1,84,28.35313389,20,1.264170917,,,
1,88,29.7145341,21,1.361400207,,,
1,92,30.98803054,22,1.273496442,,,
1,98,33.30162444,23,2.313593894,,,
1,102,34.60376762,24,1.302143187,,,
1,106,35.81924059,25,1.215472968,,,
1,110,37.30868264,26,1.489442048,,,
1,116,39.58246537,27,2.273782729,,,
1,120,40.84663484,28,1.26416947,,,
1,124,42.06725517,29,1.220620328,,,
1,128,43.40078418,30,1.333529018,,,
1,132,44.62518903,31,1.224404849,,,
1,138,46.83971684,32,2.214527803,,,
1,144,49.13585493,33,2.296138094,,,
1,148,50.36099912,34,1.225144193,,,
1,152,51.60985483,35,1.248855705,,,
1,156,53.04274617,36,1.432891337,,,
1,160,54.30252077,37,1.259774608,,,
1,164,55.59747023,38,1.294949458,,,
1,168,57.03010534,39,1.432635106,,,
1,174,59.24056146,40,2.210456123,,,
1,178,60.55045271,41,1.309891247,,,
1,186,63.86151245,42,3.311059745,,,
1,190,65.07531532,43,1.213802869,,,
1,194,66.31321152,44,1.237896196,,,
1,198,67.55842172,45,1.245210206,,,
1,204,69.8428645,46,2.284442779,,,
1,208,71.1434516,47,1.300587101,,,
1,214,73.66274627,48,2.519294664,,,
1,218,74.88617642,49,1.223430152,,,
1,222,76.10376777,50,1.217591355,,,
1,226,77.40964205,51,1.305874272,,,
1,230,78.6388501,52,1.229208053,,,
1,234,79.90164426,53,1.262794158,,,
1,238,81.12967196,54,1.228027701,,,
1,242,82.3469847,55,1.217312746,,,
1,246,83.55868024,56,1.211695541,,,
1,250,84.86548746,57,1.30680722,,,
1,254,86.08035869,58,1.214871227,,,
1,258,87.30224675,59,1.22188806,,,
1,262,88.54824815,60,1.246001396,,,
1,270,91.92028131,61,3.372033166,,,
1,274,93.3022632,62,1.381981892,,,
1,278,94.51236668,63,1.210103478,,,
1,282,96.08726983,64,1.574903146,,,
1,286,97.35050349,65,1.26323366,,,
1,292,99.92669622,66,2.576192728,,,
