0,1,0.5488135023,0,Differrence:,IGG:,IPG:,Std div:
0,383,165.5405705,37,1,,,
0,385,166.5405705,37,1,,,
0,387,167.5405705,37,1,,,
0,389,168.5405705,37,1,,,
0,391,169.5405705,37,1,,,
0,395,170.7867436,38,1.24617309,,,
0,397,171.7867436,38,1,,,
0,399,172.7867436,38,1,,,
0,401,173.7867436,38,1,,,
0,403,174.7867436,38,1,,,
0,405,175.7867436,38,1,,,
0,407,176.7867436,38,1,,,
0,409,177.7867436,38,1,,,
0,411,178.7867436,38,1,,,
0,415,180.043534,39,1.256790415,,,
0,417,181.043534,39,1,,,
0,421,182.3293733,40,1.285839297,,,
0,423,183.3293733,40,1,,,
0,425,184.3293733,40,1,,,
0,429,185.6142954,41,1.284922081,,,
0,431,186.6142954,41,1,,,
0,433,187.6142954,41,1,,,
0,437,189.1195236,42,1.505228166,,,
0,439,190.1195236,42,1,,,
0,441,191.1195236,42,1,,,
0,443,192.1195236,42,1,,,
0,447,193.7038242,43,1.584300658,,,
0,449,194.7038242,43,1,,,
0,451,195.7038242,43,1,,,
0,453,196.7038242,43,1,,,
0,457,198.0719164,44,1.36809222,,,
0,459,199.0719164,44,1,,,
1,6,2.648813502,1,,,,
1,10,3.941135815,2,1.292322313,,,
1,14,5.219855929,3,1.278720114,,,
1,28,11.47496078,4,6.255104849,,,
1,32,12.68079925,5,1.205838467,,,
1,40,15.91263486,6,3.231835614,,,
1,52,21.27985598,7,5.36722112,,,
1,68,28.66069291,8,7.380836926,,,
1,72,30.1757099,9,1.515016993,,,
1,76,31.39083298,10,1.215123085,,,
1,80,32.79492221,11,1.404089222,,,
1,84,34.05909312,12,1.264170917,,,
1,92,37.42049333,13,3.361400207,,,
1,108,44.73408722,14,7.313593894,,,
1,124,52.07622369,15,7.342136468,,,
1,152,65.40975271,16,13.33352902,,,
1,166,71.84264405,17,6.432891337,,,
1,174,75.16225483,18,3.31961078,,,
1,190,82.47214607,19,7.309891247,,,
1,208,90.71004227,20,8.237896196,,,
1,222,97.22933694,21,6.519294664,,,
1,254,112.5352112,22,15.30587427,,,
1,258,113.7570993,23,1.22188806,,,
1,264,116.0031007,24,2.246001396,,,
1,272,119.2044671,25,3.201366458,,,
1,278,121.5164486,26,2.311981437,,,
1,282,123.0913517,27,1.574903146,,,
1,288,125.3545854,28,2.26323366,,,
1,306,133.5603181,29,8.205732693,,,
1,322,140.7731237,30,7.212805677,,,
1,326,142.0266122,31,1.253488438,,,
1,338,147.2332419,32,5.20662974,,,
1,346,150.4640834,33,3.230841484,,,
1,350,151.6739484,34,1.209865031,,,
1,356,153.959738,35,2.285789564,,,
1,366,158.192272,36,4.232534042,,,
1,374,161.4064051,37,3.214133071,,,
1,392,169.6405705,38,8.234165417,,,
1,412,178.8867436,39,9.24617309,,,
1,418,181.143534,40,2.256790415,,,
1,426,184.4293733,41,3.285839297,,,
1,434,187.7142954,42,3.284922081,,,
1,444,192.2195236,43,4.505228166,,,
1,454,196.8038242,44,4.584300658,,,
2,7,2.741135815,0,,,,
2,11,4.019855929,0,,,,
2,15,5.274960778,0,,,,
2,29,11.48079925,0,,,,
2,33,12.71263486,0,,,,
2,41,16.07985598,0,,,,
2,53,21.46069291,0,,,,
2,69,28.9757099,0,,,,
2,73,30.19083298,0,,,,
2,77,31.59492221,0,,,,
2,81,32.85909312,0,,,,
2,85,34.22049333,0,,,,
2,93,37.53408722,0,,,,
2,109,44.87622369,0,,,,
2,125,52.20975271,0,,,,
2,153,65.64264405,0,,,,
2,167,71.96225483,0,,,,
2,175,75.27214607,0,,,,
2,191,82.51004227,0,,,,
2,209,91.02933694,0,,,,
2,223,97.33521121,0,,,,
2,255,112.5570993,0,,,,
2,259,113.8031007,0,,,,
2,265,116.0044671,0,,,,
2,273,119.3164486,0,,,,
2,279,121.8913517,0,,,,
2,283,123.1545854,0,,,,
2,289,125.3603181,0,,,,
2,307,133.5731237,0,,,,
2,323,140.8266122,0,,,,
2,327,142.0332419,0,,,,
2,339,147.2640834,0,,,,
2,347,150.4739484,0,,,,
