0,1,0.5488135023,0,Difference:,IGG:,IPG:,Std div:
0,447,168.2985221,79,1.584300658,,,
0,451,169.5108748,80,1.212352665,,,
0,453,170.5108748,80,1,,,
0,457,171.878967,81,1.36809222,,,
0,459,172.878967,81,1,,,
0,461,173.878967,81,1,,,
0,465,175.2919169,82,1.41294994,,,
0,467,176.2919169,82,1,,,
0,471,177.5294908,83,1.237573884,,,
0,475,179.0659279,84,1.536437045,,,
0,479,180.354714,85,1.288786141,,,
0,483,181.6624975,86,1.307783488,,,
0,487,182.9386843,87,1.276186777,,,
0,491,184.16489,88,1.226205724,,,
0,495,185.4151211,89,1.25023108,,,
0,497,186.4151211,89,1,,,
0,501,187.7083614,90,1.293240288,,,
0,503,188.7083614,90,1,,,
0,505,189.7083614,90,1,,,
0,507,190.7083614,90,1,,,
0,509,191.7083614,90,1,,,
0,513,193.0162934,91,1.30793202,,,
0,515,194.0162934,91,1,,,
0,517,195.0162934,91,1,,,
0,519,196.0162934,91,1,,,
0,523,197.3545913,92,1.338297921,,,
0,525,198.3545913,92,1,,,
0,529,199.5691487,93,1.214557398,,,
1,2,0.6488135023,1,,,,
1,6,1.974406578,2,1.325593076,,,
1,10,3.266728891,3,1.292322313,,,
1,14,4.545449005,4,1.278720114,,,
1,18,5.800553854,5,1.255104849,,,
1,28,10.10436978,6,4.30381593,,,
1,32,11.31020825,7,1.205838467,,,
1,40,14.54204386,8,3.231835614,,,
1,44,15.90926499,9,1.36722112,,,
1,48,17.17465324,10,1.265388257,,,
1,52,18.42454044,11,1.249887201,,,
1,62,22.80537737,12,4.380836926,,,
1,68,25.00741993,13,2.202042559,,,
1,72,26.52243692,14,1.515016993,,,
1,76,27.73756001,15,1.215123085,,,
1,80,29.14164923,16,1.404089222,,,
1,84,30.40582014,17,1.264170917,,,
1,90,32.76722035,18,2.361400207,,,
1,94,34.11887395,19,1.351653597,,,
1,98,35.33146139,20,1.212587441,,,
1,102,36.63360458,21,1.302143187,,,
1,106,37.84907755,22,1.215472968,,,
1,110,39.33851959,23,1.489442048,,,
1,124,45.61230232,24,6.273782729,,,
1,132,48.94583134,25,3.333529018,,,
1,140,52.16035914,26,3.214527803,,,
1,144,53.37657279,27,1.216213649,,,
1,148,54.60171699,28,1.225144193,,,
1,152,55.85057269,29,1.248855705,,,
1,156,57.28346403,30,1.432891337,,,
1,162,59.54323864,31,2.259774608,,,
1,166,60.80069188,32,1.257453241,,,
1,174,64.12030266,33,3.31961078,,,
1,178,65.4301939,34,1.309891247,,,
1,190,70.74125365,35,5.311059745,,,
1,194,71.97914985,36,1.237896196,,,
1,200,74.22436005,37,2.245210206,,,
1,206,76.42827837,38,2.203918316,,,
1,210,78.07372805,39,1.645449685,,,
1,214,79.28449156,40,1.210763511,,,
1,218,80.50792171,41,1.223430152,,,
1,222,81.72551307,42,1.217591355,,,
1,226,83.03138734,43,1.305874272,,,
1,238,88.26059539,44,5.229208053,,,
1,246,91.47790814,45,3.217312746,,,
1,254,94.78471536,46,3.30680722,,,
1,258,96.00660342,47,1.22188806,,,
1,262,97.25260481,48,1.246001396,,,
1,270,100.624638,49,3.372033166,,,
1,274,102.0066199,50,1.381981892,,,
1,278,103.2167233,51,1.210103478,,,
1,282,104.7916265,52,1.574903146,,,
1,286,106.0548602,53,1.26323366,,,
1,292,108.6310529,54,2.576192728,,,
1,296,109.8910476,55,1.259994689,,,
1,306,114.0930666,56,4.202019013,,,
1,318,119.3058723,57,5.212805677,,,
1,322,120.5441424,58,1.238270095,,,
1,326,121.7976308,59,1.253488438,,,
1,332,124.0042605,60,2.20662974,,,
1,336,125.2875449,61,1.283284352,,,
1,342,127.6878689,62,2.400324052,,,
1,346,128.9619448,63,1.274075895,,,
1,350,130.1718099,64,1.209865031,,,
1,356,132.4575994,65,2.285789564,,,
1,364,135.6901335,66,3.232534042,,,
1,370,138.0748662,67,2.384732765,,,
1,374,139.4008596,68,1.325993381,,,
1,384,143.635025,69,4.234165417,,,
1,392,146.9155048,70,3.28047974,,,
1,400,150.1616779,71,3.24617309,,,
1,406,152.4459862,72,2.284308303,,,
1,412,154.778862,73,2.332875787,,,
1,418,157.0356524,74,2.256790415,,,
1,424,159.3214917,75,2.285839297,,,
1,428,160.747865,76,1.426373358,,,
1,434,163.0497309,77,2.301865873,,,
1,438,164.5549591,78,1.505228166,,,
1,444,166.8142215,79,2.259262403,,,
1,448,168.3985221,80,1.584300658,,,
1,454,170.6108748,81,2.212352665,,,
1,462,173.978967,82,3.36809222,,,
1,468,176.3919169,83,2.41294994,,,
1,472,177.6294908,84,1.237573884,,,
1,476,179.1659279,85,1.536437045,,,
1,480,180.454714,86,1.288786141,,,
1,484,181.7624975,87,1.307783488,,,
1,488,183.0386843,88,1.276186777,,,
1,492,184.26489,89,1.226205724,,,
1,498,186.5151211,90,2.25023108,,,
1,510,191.8083614,91,5.293240288,,,
1,520,196.1162934,92,4.30793202,,,
1,526,198.4545913,93,2.338297921,,,
2,3,0.7744065781,0,,,,
2,7,2.066728891,0,,,,
2,11,3.345449005,0,,,,
2,15,4.600553854,0,,,,
2,19,5.904369784,0,,,,
2,29,10.11020825,0,,,,
2,33,11.34204386,0,,,,
2,41,14.70926499,0,,,,
2,45,15.97465324,0,,,,
2,49,17.22454044,0,,,,
2,53,18.60537737,0,,,,
2,63,22.80741993,0,,,,
2,69,25.32243692,0,,,,
2,73,26.53756001,0,,,,
2,77,27.94164923,0,,,,
2,81,29.20582014,0,,,,
2,85,30.56722035,0,,,,
2,91,32.91887395,0,,,,
2,95,34.13146139,0,,,,
2,99,35.43360458,0,,,,
2,103,36.64907755,0,,,,
2,107,38.13851959,0,,,,
2,111,39.41230232,0,,,,
2,125,45.74583134,0,,,,
2,133,48.96035914,0,,,,
2,141,52.17657279,0,,,,
2,145,53.40171699,0,,,,
2,149,54.65057269,0,,,,
2,153,56.08346403,0,,,,
2,157,57.34323864,0,,,,
2,163,59.60069188,0,,,,
2,167,60.92030266,0,,,,
2,175,64.2301939,0,,,,
2,179,65.54125365,0,,,,
2,191,70.77914985,0,,,,
2,195,72.02436005,0,,,,
2,201,74.22827837,0,,,,
2,207,76.87372805,0,,,,
2,211,78.08449156,0,,,,
2,215,79.30792171,0,,,,
2,219,80.52551307,0,,,,
2,223,81.83138734,0,,,,
2,227,83.06059539,0,,,,
2,239,88.27790814,0,,,,
2,247,91.58471536,0,,,,
2,255,94.80660342,0,,,,
2,259,96.05260481,0,,,,
2,263,97.42463798,0,,,,
2,271,100.8066199,0,,,,
2,275,102.0167233,0,,,,
2,279,103.5916265,0,,,,
2,283,104.8548602,0,,,,
2,287,106.4310529,0,,,,
2,293,108.6910476,0,,,,
2,297,109.8930666,0,,,,
2,307,114.1058723,0,,,,
2,319,119.3441424,0,,,,
2,323,120.5976308,0,,,,
2,327,121.8042605,0,,,,
2,333,124.0875449,0,,,,
2,337,125.4878689,0,,,,
2,343,127.7619448,0,,,,
2,347,128.9718099,0,,,,
2,351,130.2575994,0,,,,
2,357,132.4901335,0,,,,
2,365,135.8748662,0,,,,
2,371,138.2008596,0,,,,
2,375,139.435025,0,,,,
2,385,143.7155048,0,,,,
2,393,146.9616779,0,,,,
2,401,150.2459862,0,,,,
2,407,152.578862,0,,,,
2,413,154.8356524,0,,,,
2,419,157.1214917,0,,,,
2,425,159.547865,0,,,,
2,429,160.8497309,0,,,,
2,435,163.3549591,0,,,,
2,439,164.6142215,0,,,,
2,445,167.1985221,0,,,,
2,449,168.4108748,0,,,,
2,455,170.778967,0,,,,
2,463,174.1919169,0,,,,
2,469,176.4294908,0,,,,
2,473,177.9659279,0,,,,
2,477,179.254714,0,,,,
2,481,180.5624975,0,,,,
2,485,181.8386843,0,,,,
2,489,183.06489,0,,,,
2,493,184.3151211,0,,,,
2,499,186.6083614,0,,,,
2,511,191.9162934,0,,,,
2,521,196.2545913,0,,,,
2,527,198.4691487,0,,,,
3,4,0.8744065781,1,,,,
3,8,2.166728891,2,,,,
3,12,3.445449005,3,,,,
3,16,4.700553854,4,,,,
3,20,6.004369784,5,,,,
3,30,10.21020825,6,,,,
3,34,11.44204386,7,,,,
3,42,14.80926499,8,,,,
3,46,16.07465324,9,,,,
3,50,17.32454044,10,,,,
3,54,18.70537737,11,,,,
3,64,22.90741993,12,,,,
3,70,25.42243692,13,,,,
3,74,26.63756001,14,,,,
3,78,28.04164923,15,,,,
3,82,29.30582014,16,,,,
3,86,30.66722035,17,,,,
3,92,33.01887395,18,,,,
3,96,34.23146139,19,,,,
3,100,35.53360458,20,,,,
3,104,36.74907755,21,,,,
3,108,38.23851959,22,,,,
3,112,39.51230232,23,,,,
3,126,45.84583134,24,,,,
3,134,49.06035914,25,,,,
3,142,52.27657279,26,,,,
3,146,53.50171699,27,,,,
3,150,54.75057269,28,,,,
3,154,56.18346403,29,,,,
3,158,57.44323864,30,,,,
3,164,59.70069188,31,,,,
3,168,61.02030266,32,,,,
3,176,64.3301939,33,,,,
3,180,65.64125365,34,,,,
3,192,70.87914985,35,,,,
3,196,72.12436005,36,,,,
3,202,74.32827837,37,,,,
3,208,76.97372805,38,,,,
3,212,78.18449156,39,,,,
3,216,79.40792171,40,,,,
3,220,80.62551307,41,,,,
3,224,81.93138734,42,,,,
3,228,83.16059539,43,,,,
3,240,88.37790814,44,,,,
3,248,91.68471536,45,,,,
3,256,94.90660342,46,,,,
3,260,96.15260481,47,,,,
3,264,97.52463798,48,,,,
3,272,100.9066199,49,,,,
3,276,102.1167233,50,,,,
3,280,103.6916265,51,,,,
3,284,104.9548602,52,,,,
3,288,106.5310529,53,,,,
3,294,108.7910476,54,,,,
3,298,109.9930666,55,,,,
3,308,114.2058723,56,,,,
3,320,119.4441424,57,,,,
3,324,120.6976308,58,,,,
3,328,121.9042605,59,,,,
3,334,124.1875449,60,,,,
3,338,125.5878689,61,,,,
3,344,127.8619448,62,,,,
3,348,129.0718099,63,,,,
3,352,130.3575994,64,,,,
3,358,132.5901335,65,,,,
3,366,135.9748662,66,,,,
3,372,138.3008596,67,,,,
3,376,139.535025,68,,,,
3,386,143.8155048,69,,,,
3,394,147.0616779,70,,,,
3,402,150.3459862,71,,,,
3,408,152.678862,72,,,,
3,414,154.9356524,73,,,,
3,420,157.2214917,74,,,,
3,426,159.647865,75,,,,
3,430,160.9497309,76,,,,
3,436,163.4549591,77,,,,
3,440,164.7142215,78,,,,
3,446,167.2985221,79,,,,
3,450,168.5108748,80,,,,
3,456,170.878967,81,,,,
3,464,174.2919169,82,,,,
3,470,176.5294908,83,,,,
3,474,178.0659279,84,,,,
3,478,179.354714,85,,,,
3,482,180.6624975,86,,,,
3,486,181.9386843,87,,,,
3,490,183.16489,88,,,,
3,494,184.4151211,89,,,,
3,500,186.7083614,90,,,,
3,512,192.0162934,91,,,,
3,522,196.3545913,92,,,,
3,528,198.5691487,93,,,,
